"Species","AgeClass","Watershed","Stream","Year","CI","BA","Site","CUE"
"BKTR","AllAges","Clearwater","Cutoff",2011,"C","Before","-115.613158--51.978009",2.37248317510755
"BKTR","AllAges","Clearwater","Cutoff",2011,"C","Before","-115.588028--51.974086",1.37881327384497
"BLTR","Immature","Clearwater","Cutoff",2020,"C","After","SP3",7.41474361847151
"BLTR","Immature","Clearwater","Cutoff",2023,"C","After","ST.2023.9",36.5189555035746
"BLTR","Immature","Clearwater","Cutoff",2023,"C","After","ST.2023.10",6.78511794116335
"BLTR","Immature","Clearwater","Cutoff",2023,"C","After","ST.2023.5",0.0128384445433554
"BLTR","Immature","Clearwater","Cutoff",2020,"C","After","SP4",0.98796718469688
"BLTR","Immature","Clearwater","Cutoff",2020,"C","After","SP1",3.23334714991706
"BLTR","Immature","Clearwater","Cutoff",2023,"C","After","ST.2023.6",2.67039646501793
"BLTR","Mature","Clearwater","Cutoff",2023,"C","After","ST.2023.6",4.56406703516286
"BLTR","Immature","Clearwater","Cutoff",2020,"C","After","SP2",7.98357320967175
"BLTR","Mature","Clearwater","Cutoff",2023,"C","After","ST.2023.7",2.12476257192532
"BLTR","Mature","Clearwater","Cutoff",2022,"C","After","SP3",0.0148726165135699
"BLTR","Immature","Clearwater","Cutoff",2023,"C","After","ST.2023.8",43.0729814429575
"BLTR","Mature","Clearwater","Cutoff",2023,"C","After","SP1",0.179738223606976
"BLTR","Immature","Clearwater","Cutoff",2022,"C","After","ST.2022.5",0.513105269718162
"BLTR","Immature","Clearwater","Cutoff",2023,"C","After","ST.2023.11",22.4544395063286
"BLTR","Mature","Clearwater","Cutoff",2022,"C","After","SP4",2.31269186786012
"BLTR","Mature","Clearwater","Cutoff",2022,"C","After","ST.2022.8",0.0594904660542796
"BLTR","Immature","Clearwater","Cutoff",2023,"C","After","SP1",7.46555550196118
"BLTR","Immature","Clearwater","Cutoff",2023,"C","After","SP4",23.5457072925139
"BLTR","Mature","Clearwater","Cutoff",2023,"C","After","ST.2023.5",0.263188113138786
"BLTR","Immature","Clearwater","Cutoff",2022,"C","After","ST.2022.7",81.0929415402399
"BLTR","Mature","Clearwater","Cutoff",2021,"C","After","SP1",4.53125078189574
"BLTR","Immature","Clearwater","Cutoff",2023,"C","After","ST.2023.7",1.60480556791943
"BLTR","Immature","Clearwater","Cutoff",2021,"C","After","SP2",1.81766903988593
"BLTR","Immature","Clearwater","Cutoff",2022,"C","After","SP3",6.09777277056367
"BLTR","Immature","Clearwater","Cutoff",2021,"C","After","SP1",5.47023621008326
"BLTR","Mature","Clearwater","Cutoff",2023,"C","After","SP3",5.25092381823237
"BLTR","Mature","Clearwater","Cutoff",2022,"C","After","ST.2022.5",2.6696346641858
"BLTR","Mature","Clearwater","Cutoff",2022,"C","After","ST.2022.6",1.16006408805845
"BLTR","Immature","Clearwater","Cutoff",2022,"C","After","ST.2022.8",1.85164075593946
"BLTR","Mature","Clearwater","Cutoff",2023,"C","After","ST.2023.8",0.0128384445433554
"BLTR","Mature","Clearwater","Cutoff",2023,"C","After","ST.2023.9",0.115546000890199
"BLTR","Mature","Clearwater","Cutoff",2020,"C","After","SP1",0.0199589330241794
"BLTR","Mature","Clearwater","Cutoff",2023,"C","After","ST.2023.10",0.0834498895318103
"BLTR","Mature","Clearwater","Cutoff",2023,"C","After","ST.2023.11",0.648341449439449
"BLTR","Mature","Clearwater","Cutoff",2023,"C","After","SP4",2.57410813094276
"BLTR","Immature","Clearwater","Cutoff",2022,"C","After","ST.2022.6",1.98549430456158
"BLTR","Immature","Clearwater","Cutoff",2022,"C","After","SP1",4.8930908329645
"BLTR","Mature","Clearwater","Cutoff",2023,"C","After","SP2",1.57912867883272
"BLTR","Mature","Clearwater","Cutoff",2021,"C","After","SP2",0.499643622338314
"BLTR","Immature","Clearwater","Cutoff",2022,"C","After","SP4",0.9890289981524
"BLTR","Immature","Clearwater","Cutoff",2023,"C","After","SP2",9.83424852021026
"BLTR","Immature","Clearwater","Cutoff",2023,"C","After","SP3",64.1472881608754
"BLTR","Immature","Clearwater","Cutoff",2019,"C","After","SP1",1.38727813584993
"BLTR","Immature","Clearwater","Cutoff",2023,"C","After","ST.2023.12",3.7167296953014
"BLTR","Immature","Clearwater","Cutoff",2019,"C","After","SP2",2.57802520245445
"BLTR","Mature","Clearwater","Cutoff",2022,"C","After","SP1",1.49469795961378
"BLTR","Mature","Clearwater","Cutoff",2019,"C","After","SP2",4.85547347547474
"BLTR","Mature","Clearwater","Cutoff",2023,"C","After","ST.2023.12",1.05275245255515
"BLTR","Mature","Clearwater","Cutoff",2022,"C","After","SP2",14.0918041466075
"BLTR","Mature","Clearwater","Cutoff",2020,"C","After","SP4",1.37716637866838
"BLTR","Mature","Clearwater","Cutoff",2020,"C","After","SP3",1.01790558423315
"BLTR","Mature","Clearwater","Cutoff",2020,"C","After","SP2",3.11359355177198
"BLTR","Mature","Clearwater","Cutoff",2022,"C","After","ST.2022.7",2.77374297978079
"BLTR","Immature","Clearwater","Cutoff",2022,"C","After","SP2",7.07936546045928
"BLTR","Mature","Clearwater","Cutoff",2019,"C","After","SP1",2.68207106264319
"BLTR","Mature","Clearwater","Cutoff",2017,"C","Before","-115.503665--52.006513",0.422330049307979
"BLTR","Mature","Clearwater","Cutoff",2017,"C","Before","-115.616666--51.976663",0.558565549084993
"BLTR","Mature","Clearwater","Cutoff",2017,"C","Before","-115.565184--51.997043",0.217976799642924
"BLTR","Immature","Clearwater","Cutoff",2017,"C","Before","-115.565184--51.997043",61.1152451998849
"BLTR","Mature","Clearwater","Cutoff",2011,"C","Before","-115.564447--51.997397",0.104322664982667
"BLTR","Immature","Clearwater","Cutoff",2017,"C","Before","-115.503665--52.006513",71.6871199825666
"BLTR","Immature","Clearwater","Cutoff",2011,"C","Before","-115.588028--51.974086",52.1613324913333
"BLTR","Mature","Clearwater","Cutoff",2018,"C","Before","SP2",0.599068633137478
"BLTR","Immature","Clearwater","Cutoff",2011,"C","Before","-115.504509--52.006265",2.034291967162
"BLTR","Immature","Clearwater","Cutoff",2011,"C","Before","-115.613158--51.978009",138.175369769542
"BLTR","Immature","Clearwater","Cutoff",2017,"C","Before","-115.616666--51.976663",4.57751279250141
"BLTR","Mature","Clearwater","Cutoff",2018,"C","Before","SP1",0.707990202798837
"BLTR","Mature","Clearwater","Cutoff",2011,"C","Before","-115.504509--52.006265",0.104322664982667
"BLTR","Mature","Clearwater","Cutoff",2011,"C","Before","-115.588028--51.974086",0.104322664982667
"BLTR","Immature","Clearwater","Cutoff",2011,"C","Before","-115.564447--51.997397",49.7097498642406
"BLTR","Immature","Clearwater","Cutoff",2018,"C","Before","SP2",0.871372557290877
"BLTR","Immature","Clearwater","Cutoff",2018,"C","Before","SP1",1.96058825390447
"BLTR","Mature","Clearwater","Cutoff",2011,"C","Before","-115.613158--51.978009",0.104322664982667
"BKTR","AllAges","Clearwater","Elk",2020,"C","After","SP2",2.37473690343958
"BKTR","AllAges","Clearwater","Elk",2019,"C","After","SP2",0.0760763605873383
"BKTR","AllAges","Clearwater","Elk",2022,"C","After","SP2",0.234325477348815
"BKTR","AllAges","Clearwater","Elk",2020,"C","After","SP1",0.74183881723266
"BKTR","AllAges","Clearwater","Elk",2019,"C","After","SP1",0.176497156562625
"BKTR","AllAges","Clearwater","Elk",2023,"C","After","SP2",1.61804707227338
"BKTR","AllAges","Clearwater","Elk",2021,"C","After","SP2",0.579405517890234
"BKTR","AllAges","Clearwater","Elk",2021,"C","After","SP1",1.03934598054537
"BKTR","AllAges","Clearwater","Elk",2022,"C","After","SP1",0.016737534096344
"BKTR","AllAges","Clearwater","Elk",2023,"C","After","SP1",0.175874681768846
"BKTR","AllAges","Clearwater","Elk",2010,"C","Before","-115.67554--52.070986",0.0343150512037006
"BKTR","AllAges","Clearwater","Elk",2010,"C","Before","-115.829472--52.047317",0.514725768055093
"BKTR","AllAges","Clearwater","Elk",2010,"C","Before","-115.674039--52.1047",1.16671174092488
"BKTR","AllAges","Clearwater","Elk",2010,"C","Before","-115.783994--52.059833",0.257362884027547
"BKTR","AllAges","Clearwater","Elk",2010,"C","Before","-115.670227--52.063479",1.47554720175793
"BKTR","AllAges","Clearwater","Elk",2010,"C","Before","-115.653567--52.05652",0.58335587046244
"BKTR","AllAges","Clearwater","Elk",2010,"C","Before","-115.836886--52.066843",0.0343150512036729
"BKTR","AllAges","Clearwater","Elk",2010,"C","Before","-115.723749--52.08654",1.35544452254508
"BKTR","AllAges","Clearwater","Elk",2010,"C","Before","-115.806052--52.059701",0.600513396064276
"BKTR","AllAges","Clearwater","Elk",2011,"C","Before","-115.648253--52.052866",2.17942725168071
"BKTR","AllAges","Clearwater","Elk",2018,"C","Before","ST.2018.6",1.11471548774728
"BKTR","AllAges","Clearwater","Elk",2010,"C","Before","-115.833568--52.043613",0.0343150512036729
"BKTR","AllAges","Clearwater","Elk",2011,"C","Before","-115.72328--52.085636",0.35582485741726
"BKTR","AllAges","Clearwater","Elk",2010,"C","Before","-115.666411--52.059594",2.16184822583139
"BKTR","AllAges","Clearwater","Elk",2018,"C","Before","ST.2018.8",0.81070217290711
"BKTR","AllAges","Clearwater","Elk",2011,"C","Before","-115.833979--52.043556",0.0296520714514383
"BKTR","AllAges","Clearwater","Elk",2018,"C","Before","SP3",0.0960042046863683
"BKTR","AllAges","Clearwater","Elk",2010,"C","Before","-115.716518--52.089025",0.102945153611019
"BKTR","AllAges","Clearwater","Elk",2010,"C","Before","-115.816715--52.05835",0.995136484906514
"BKTR","AllAges","Clearwater","Elk",2010,"C","Before","-115.682175--52.098209",0.0686301024073458
"BKTR","AllAges","Clearwater","Elk",2018,"C","Before","ST.2018.5",0.186674842445716
"BKTR","AllAges","Clearwater","Elk",2010,"C","Before","-115.814084--52.05047",0.754931126480804
"BKTR","AllAges","Clearwater","Elk",2017,"C","Before","-115.670316--52.063163",2.48743882419683
"BKTR","AllAges","Clearwater","Elk",2010,"C","Before","-115.728192--52.081135",0.360308037638566
"BKTR","AllAges","Clearwater","Elk",2018,"C","Before","SP1",0.309346881767187
"BKTR","AllAges","Clearwater","Elk",2010,"C","Before","-115.683285--52.080018",0.463253191249584
"BKTR","AllAges","Clearwater","Elk",2011,"C","Before","-115.670242--52.063416",0.0444781071771575
"BKTR","AllAges","Clearwater","Elk",2017,"C","Before","-115.700455--52.086653",0.259236800536643
"BKTR","AllAges","Clearwater","Elk",2018,"C","Before","SP2",0.0586692361972251
"BKTR","AllAges","Clearwater","Elk",2018,"C","Before","ST.2018.7",0.160007007810614
"BKTR","AllAges","Clearwater","Elk",2011,"C","Before","-115.699912--52.086874",2.44629589474366
"BKTR","AllAges","Clearwater","Elk",2018,"C","Before","SP4",0.69336370051266
"BLTR","Immature","Clearwater","Elk",2020,"C","After","SP1",2.41411169236376
"BLTR","Immature","Clearwater","Elk",2021,"C","After","SP1",1.4577006936323
"BLTR","Immature","Clearwater","Elk",2021,"C","After","SP2",0.514875933071958
"BLTR","Mature","Clearwater","Elk",2020,"C","After","SP1",4.66132183562492
"BLTR","Immature","Clearwater","Elk",2023,"C","After","SP2",2.78521625885083
"BLTR","Mature","Clearwater","Elk",2021,"C","After","SP1",1.89902292197969
"BLTR","Immature","Clearwater","Elk",2020,"C","After","SP2",0.0238430784430943
"BLTR","Immature","Clearwater","Elk",2022,"C","After","SP2",0.0150020770986156
"BLTR","Mature","Clearwater","Elk",2020,"C","After","SP2",0.61992003952045
"BLTR","Mature","Clearwater","Elk",2021,"C","After","SP2",0.153794109878637
"BLTR","Immature","Clearwater","Elk",2022,"C","After","SP1",2.13029494800342
"BLTR","Mature","Clearwater","Elk",2023,"C","After","SP2",0.302923822714894
"BLTR","Immature","Clearwater","Elk",2023,"C","After","SP1",7.11029528316903
"BLTR","Immature","Clearwater","Elk",2019,"C","After","SP1",1.75881758645195
"BLTR","Mature","Clearwater","Elk",2023,"C","After","SP1",1.63242282240804
"BLTR","Mature","Clearwater","Elk",2022,"C","After","SP1",2.28031571898957
"BLTR","Immature","Clearwater","Elk",2019,"C","After","SP2",1.52501706136468
"BLTR","Mature","Clearwater","Elk",2022,"C","After","SP2",6.35337965126371
"BLTR","Mature","Clearwater","Elk",2019,"C","After","SP1",1.37623490903642
"BLTR","Mature","Clearwater","Elk",2019,"C","After","SP2",4.42626903176578
"BLTR","Immature","Clearwater","Elk",2010,"C","Before","-115.833568--52.043613",5.47724938630692
"BLTR","Immature","Clearwater","Elk",2010,"C","Before","-115.670227--52.063479",2.76163834603736
"BLTR","Immature","Clearwater","Elk",2010,"C","Before","-115.728192--52.081135",0.306848705115263
"BLTR","Mature","Clearwater","Elk",2010,"C","Before","-115.67554--52.070986",1.67232544287818
"BLTR","Immature","Clearwater","Elk",2010,"C","Before","-115.674039--52.1047",0.659724715997815
"BLTR","Mature","Clearwater","Elk",2010,"C","Before","-115.833568--52.043613",0.0306848705115263
"BLTR","Mature","Clearwater","Elk",2010,"C","Before","-115.728192--52.081135",0.0920546115345788
"BLTR","Mature","Clearwater","Elk",2010,"C","Before","-115.783994--52.059833",0.0306848705115263
"BLTR","Mature","Clearwater","Elk",2010,"C","Before","-115.829472--52.047317",0.24547896409221
"BLTR","Immature","Clearwater","Elk",2010,"C","Before","-115.814084--52.05047",0.383560881394078
"BLTR","Immature","Clearwater","Elk",2010,"C","Before","-115.816715--52.05835",0.889861244834262
"BLTR","Mature","Clearwater","Elk",2010,"C","Before","-115.670227--52.063479",2.76163834603737
"BLTR","Mature","Clearwater","Elk",2010,"C","Before","-115.816715--52.05835",0.751779327532394
"BLTR","Immature","Clearwater","Elk",2011,"C","Before","-115.648253--52.052866",0.791974161486173
"BLTR","Immature","Clearwater","Elk",2010,"C","Before","-115.723749--52.08654",1.18136751469376
"BLTR","Mature","Clearwater","Elk",2010,"C","Before","-115.814084--52.05047",0.0306848705115263
"BLTR","Immature","Clearwater","Elk",2010,"C","Before","-115.67554--52.070986",0.153424352557631
"BLTR","Immature","Clearwater","Elk",2010,"C","Before","-115.829472--52.047317",7.74792980416038
"BLTR","Immature","Clearwater","Elk",2010,"C","Before","-115.716518--52.089025",24.2870750098731
"BLTR","Mature","Clearwater","Elk",2010,"C","Before","-115.674039--52.1047",1.82574979543581
"BLTR","Mature","Clearwater","Elk",2018,"C","Before","ST.2018.6",0.525440218170415
"BLTR","Immature","Clearwater","Elk",2010,"C","Before","-115.836886--52.066843",14.2377799173482
"BLTR","Mature","Clearwater","Elk",2010,"C","Before","-115.723749--52.08654",1.33479186725139
"BLTR","Mature","Clearwater","Elk",2011,"C","Before","-115.72328--52.085636",1.09237815377403
"BLTR","Mature","Clearwater","Elk",2017,"C","Before","-115.700455--52.086653",0.610742086301844
"BLTR","Immature","Clearwater","Elk",2018,"C","Before","ST.2018.6",0.591875188283915
"BLTR","Mature","Clearwater","Elk",2010,"C","Before","-115.806052--52.059701",1.10465533841495
"BLTR","Mature","Clearwater","Elk",2010,"C","Before","-115.716518--52.089025",0.0306848705115263
"BLTR","Immature","Clearwater","Elk",2017,"C","Before","-115.670316--52.063163",0.726104480381082
"BLTR","Immature","Clearwater","Elk",2018,"C","Before","ST.2018.7",1.39513437238352
"BLTR","Immature","Clearwater","Elk",2017,"C","Before","-115.700455--52.086653",1.46578100712443
"BLTR","Immature","Clearwater","Elk",2018,"C","Before","ST.2018.8",2.65739880454003
"BLTR","Immature","Clearwater","Elk",2010,"C","Before","-115.666411--52.059594",0.843833939066973
"BLTR","Immature","Clearwater","Elk",2010,"C","Before","-115.806052--52.059701",0.0306848705115263
"BLTR","Mature","Clearwater","Elk",2018,"C","Before","SP1",0.0483163419007278
"BLTR","Mature","Clearwater","Elk",2018,"C","Before","ST.2018.8",3.43046027495167
"BLTR","Mature","Clearwater","Elk",2010,"C","Before","-115.666411--52.059594",2.20931067682989
"BLTR","Mature","Clearwater","Elk",2010,"C","Before","-115.653567--52.05652",0.460273057672894
"BLTR","Immature","Clearwater","Elk",2010,"C","Before","-115.682175--52.098209",8.72984566052923
"BLTR","Immature","Clearwater","Elk",2010,"C","Before","-115.783994--52.059833",28.9051480218578
"BLTR","Immature","Clearwater","Elk",2010,"C","Before","-115.683285--52.080018",2.51615938194516
"BLTR","Immature","Clearwater","Elk",2011,"C","Before","-115.670242--52.063416",9.38079739553449
"BLTR","Immature","Clearwater","Elk",2018,"C","Before","SP1",1.64879516736234
"BLTR","Immature","Clearwater","Elk",2011,"C","Before","-115.833979--52.043556",17.0410991988749
"BLTR","Mature","Clearwater","Elk",2017,"C","Before","-115.670316--52.063163",0.0746462549924477
"BLTR","Immature","Clearwater","Elk",2010,"C","Before","-115.653567--52.05652",3.86629368445231
"BLTR","Mature","Clearwater","Elk",2018,"C","Before","ST.2018.7",7.83328693065549
"BLTR","Mature","Clearwater","Elk",2011,"C","Before","-115.670242--52.063416",1.76145977296063
"BLTR","Mature","Clearwater","Elk",2010,"C","Before","-115.836886--52.066843",1.18136751469376
"BLTR","Mature","Clearwater","Elk",2011,"C","Before","-115.648253--52.052866",2.28033939600329
"BLTR","Immature","Clearwater","Elk",2018,"C","Before","SP2",0.392570277943413
"BLTR","Mature","Clearwater","Elk",2018,"C","Before","ST.2018.5",1.4736484279722
"BLTR","Mature","Clearwater","Elk",2018,"C","Before","SP4",3.15264130902249
"BLTR","Mature","Clearwater","Elk",2018,"C","Before","SP2",5.02489955767569
"BLTR","Immature","Clearwater","Elk",2011,"C","Before","-115.72328--52.085636",6.34944801881155
"BLTR","Mature","Clearwater","Elk",2011,"C","Before","-115.699912--52.086874",0.628117438420068
"BLTR","Mature","Clearwater","Elk",2010,"C","Before","-115.682175--52.098209",2.1632833710626
"BLTR","Immature","Clearwater","Elk",2018,"C","Before","ST.2018.5",1.14751312014229
"BLTR","Immature","Clearwater","Elk",2018,"C","Before","SP4",0.942168667064192
"BLTR","Mature","Clearwater","Elk",2011,"C","Before","-115.833979--52.043556",12.4940751337905
"BLTR","Immature","Clearwater","Elk",2018,"C","Before","SP3",1.62463699641197
"BLTR","Mature","Clearwater","Elk",2018,"C","Before","SP3",0.338214393305095
"BLTR","Mature","Clearwater","Elk",2010,"C","Before","-115.683285--52.080018",0.414245751905605
"BLTR","Immature","Clearwater","Elk",2011,"C","Before","-115.699912--52.086874",0.204820903832631
"BKTR","AllAges","Ram","Fall",2020,"T","After","ST.2020.9",3.00969025552827
"BKTR","AllAges","Ram","Fall",2022,"T","After","SP2",1.64189667921557
"BKTR","AllAges","Ram","Fall",2021,"T","After","SP1",0.139207849057772
"BKTR","AllAges","Ram","Fall",2020,"T","After","SP4",2.1569446831286
"BKTR","AllAges","Ram","Fall",2023,"T","After","ST.2023.12",0.804102345951218
"BKTR","AllAges","Ram","Fall",2020,"T","After","ST.2020.5",5.06631193013926
"BKTR","AllAges","Ram","Fall",2020,"T","After","SP1",1.95629866609338
"BKTR","AllAges","Ram","Fall",2019,"T","After","SP2",0.0722998459221029
"BKTR","AllAges","Ram","Fall",2020,"T","After","ST.2020.6",0.100323008517609
"BKTR","AllAges","Ram","Fall",2023,"T","After","SP2",0.268034115317073
"BKTR","AllAges","Ram","Fall",2023,"T","After","ST.2023.7",0.268034115317073
"BKTR","AllAges","Ram","Fall",2020,"T","After","SP2",0.501615042588046
"BKTR","AllAges","Ram","Fall",2023,"T","After","ST.2023.6",0.268034115317073
"BKTR","AllAges","Ram","Fall",2023,"T","After","ST.2023.8",0.268034115317073
"BKTR","AllAges","Ram","Fall",2023,"T","After","SP4",0.268034115317073
"BKTR","AllAges","Ram","Fall",2023,"T","After","ST.2023.11",0.402051172975609
"BKTR","AllAges","Ram","Fall",2021,"T","After","SP2",0.139207849057772
"BKTR","AllAges","Ram","Fall",2022,"T","After","SP1",0.482910788004579
"BKTR","AllAges","Ram","Fall",2020,"T","After","ST.2020.8",0.100323008517609
"BKTR","AllAges","Ram","Fall",2023,"T","After","ST.2023.5",0.670085288292682
"BKTR","AllAges","Ram","Fall",2019,"T","After","SP1",0.0722998459221029
"BKTR","AllAges","Ram","Fall",2023,"T","After","SP1",5.22666524868291
"BKTR","AllAges","Ram","Fall",2023,"T","After","SP3",1.20615351892683
"BKTR","AllAges","Ram","Fall",2020,"T","After","ST.2020.7",9.58084731342304
"BKTR","AllAges","Ram","Fall",2023,"T","After","ST.2023.10",0.268034115317073
"BKTR","AllAges","Ram","Fall",2020,"T","After","SP3",0.551776546846851
"BKTR","AllAges","Ram","Fall",2022,"T","After","SP3",0.193164315201832
"BKTR","AllAges","Ram","Fall",2023,"T","After","ST.2023.9",0.268034115317073
"BKTR","AllAges","Ram","Fall",2008,"T","Before","-115.552467884276--52.2435748391126",0.452672199908145
"BKTR","AllAges","Ram","Fall",2008,"T","Before","-115.54899447534--52.2472276150871",0.0109077638532083
"BKTR","AllAges","Ram","Fall",2008,"T","Before","-115.545826409886--52.2545165343576",0.0709004650458537
"BKTR","AllAges","Ram","Fall",2008,"T","Before","-115.555738182775--52.2380402938173",0.163616457798124
"BKTR","AllAges","Ram","Fall",2008,"T","Before","-115.559665924221--52.2289081662653",0.0109077638532083
"BKTR","AllAges","Ram","Fall",2008,"T","Before","-115.545587226997--52.2582449725668",0.0109077638532083
"BKTR","AllAges","Ram","Fall",2008,"T","Before","-115.54856118196--52.250180424561",0.163616457798124
"BKTR","AllAges","Ram","Fall",2008,"T","Before","-115.550657736883--52.2609148065247",0.359956207155873
"BKTR","AllAges","Ram","Fall",2008,"T","Before","-115.558979961461--52.2347171706208",0.0654465831192496
"BKTR","AllAges","Ram","Fall",2018,"T","Before","SP1",0.0403274626906881
"BKTR","AllAges","Ram","Fall",2018,"T","Before","SP2",0.0403274626906881
"BKTR","AllAges","Ram","Fall",2017,"T","Before","-115.550511--52.253288",0.406922984733876
"BKTR","AllAges","Ram","Fall",2017,"T","Before","-115.556157--52.240482",0.0353846073681632
"BLTR","Mature","Ram","Fall",2022,"T","After","SP3",39.6279128641079
"BLTR","Mature","Ram","Fall",2022,"T","After","SP1",43.0852349140963
"BLTR","Mature","Ram","Fall",2023,"T","After","SP3",0.762812464115459
"BLTR","Mature","Ram","Fall",2021,"T","After","SP1",5.49734076231822
"BLTR","Mature","Ram","Fall",2020,"T","After","SP4",4.20972258689178
"BLTR","Immature","Ram","Fall",2020,"T","After","SP1",0.666287028141145
"BLTR","Mature","Ram","Fall",2021,"T","After","SP2",16.0733506394933
"BLTR","Mature","Ram","Fall",2023,"T","After","ST.2023.11",11.0213249125647
"BLTR","Immature","Ram","Fall",2023,"T","After","SP2",18.9650960905947
"BLTR","Mature","Ram","Fall",2023,"T","After","ST.2023.12",5.41859888302706
"BLTR","Immature","Ram","Fall",2022,"T","After","SP3",41.0283471122045
"BLTR","Immature","Ram","Fall",2023,"T","After","ST.2023.7",79.0168497311324
"BLTR","Mature","Ram","Fall",2020,"T","After","SP1",0.590572593125105
"BLTR","Immature","Ram","Fall",2022,"T","After","SP1",27.3303496230098
"BLTR","Immature","Ram","Fall",2020,"T","After","ST.2020.7",20.6851836463685
"BLTR","Immature","Ram","Fall",2023,"T","After","SP1",242.942617881737
"BLTR","Immature","Ram","Fall",2023,"T","After","ST.2023.10",12.0997839135556
"BLTR","Immature","Ram","Fall",2020,"T","After","SP2",7.5563006146007
"BLTR","Mature","Ram","Fall",2023,"T","After","ST.2023.7",1.57823268437681
"BLTR","Immature","Ram","Fall",2023,"T","After","SP3",422.20354694887
"BLTR","Mature","Ram","Fall",2020,"T","After","ST.2020.6",4.36115145692385
"BLTR","Immature","Ram","Fall",2023,"T","After","ST.2023.5",25.3043307061749
"BLTR","Immature","Ram","Fall",2023,"T","After","ST.2023.6",30.5388024426913
"BLTR","Immature","Ram","Fall",2023,"T","After","SP4",378.091943420539
"BLTR","Mature","Ram","Fall",2023,"T","After","ST.2023.5",37.5356340100952
"BLTR","Immature","Ram","Fall",2023,"T","After","ST.2023.11",305.256505036548
"BLTR","Immature","Ram","Fall",2023,"T","After","ST.2023.12",52.5288445116749
"BLTR","Mature","Ram","Fall",2019,"T","After","SP1",2.78396596533567
"BLTR","Mature","Ram","Fall",2019,"T","After","SP2",1.03296474731912
"BLTR","Immature","Ram","Fall",2020,"T","After","ST.2020.8",5.95115459226067
"BLTR","Immature","Ram","Fall",2021,"T","After","SP1",18.8766303659735
"BLTR","Immature","Ram","Fall",2021,"T","After","SP2",33.8213878688319
"BLTR","Immature","Ram","Fall",2023,"T","After","ST.2023.8",19.4385658959077
"BLTR","Mature","Ram","Fall",2020,"T","After","ST.2020.5",0.514858158109066
